Offense,Student Housing,On Campus,Non-Grounds/Non-Campus Building or Property,Public Property,TOTAL
Murder/and Nonnegligent Manslaughter,0,0,0,0,0
Manslaughter by Negligence,0,0,0,0,0
Rape,9,12,3,1,16
Fondling,3,6,2,1,9
Incest,0,0,0,0,0
Statutory Rape,0,0,0,0,0
Robbery,0,0,0,2,2
Aggravated Assault,1,6,0,1,7
Burglary,9,9,1,0,10
Motor Vehicle Theft,0,4,0,0,4
Arson,0,1,0,0,1
Dating Violence,4,8,0,3,11
Domestic Violence,1,1,2,2,5
Stalking,11,29,0,0,29
Liqor Law Violation,357,401,1,14,416
Drug Abuse Violation,51,70,2,0,72
Illegal Weapons Possession,0,0,0,0,0
