Offense,Student Housing,Total On Campus,Non-Grounds/Non-Campus Building or Property,Public Property,TOTAL
Murder/and Nonnegligent Manslaughter,0,0,0,0,0
Manslaughter by Negligence,0,0,0,0,0
Rape,20,28,0,0,28
Fondling,6,16,0,0,16
Incest,0,0,0,0,0
Statutory Rape,0,0,0,0,0
Robbery,0,0,1,2,3
Aggravated Assault,2,6,2,1,9
Burglary,8,14,2,0,16
Motor Vehicle Theft,0,6,2,0,8
Arson,0,0,0,0,0
Dating Violence,7,11,0,5,16
Domestic Violence,2,14,0,0,14
Stalking,13,43,0,0,43
Liqor Law Violation,404,439,5,5,449
Drug Abuse Violation,12,28,1,1,30
Illegal Weapons Possession,0,0,0,0,0
