,Nature,address,description,Date,occ,case status,speech text,Times,Latitude,Longitude
0,FOUND PROPERTY,1215 Lee St,Reported security confiscated contraband from a patient ,03-01-2021,0600 03-01-21 to 0637 03-01-21,Suspended,FOUND PROPERTY: Reported security confiscated contraband from a patient  on 1215 Lee St at 0637. Case Status: Suspended,Morning,38.0324342,-78.499060670954
1,HIT AND RUN,1215 Lee St,Reported a vehicle parked was struck by another causing damage who left the scene ,03-01-2021,1100 02-27-21 to 1130 02-27-21,Active,HIT AND RUN: Reported a vehicle parked was struck by another causing damage who left the scene  on 1215 Lee St at 1236. Case Status: Active,Afternoon,38.0324342,-78.499060670954
2,PROPERTY DAMAGE,1101 Millmont St,Reported damage to a transportation fleet bus wheel ,03-01-2021,0000 02-24-21 to 1720 03-01-21,Suspended,PROPERTY DAMAGE: Reported damage to a transportation fleet bus wheel  on 1101 Millmont St at 1720. Case Status: Suspended,Afternoon,38.051256,-78.50417
3,DRIVERS EXCHANGE,1815 Stadium Rd,Reported a drivers exchange of information ,03-03-2021,0834 03-03-21 to 0834 03-03-21,Suspended,DRIVERS EXCHANGE: Reported a drivers exchange of information  on 1815 Stadium Rd at 0834. Case Status: Suspended,Morning,38.029874894745404,-78.51262899144912
4,LOST PROPERTY ,1100 Bayly Dr,Reported a tool bag containing school supplies. ,03-03-2021,2200 02-25-21 to 1700 02-26-21,Active,LOST PROPERTY : Reported a tool bag containing school supplies.  on 1100 Bayly Dr at 1525. Case Status: Active,Afternoon,38.0390244,-78.5028471
5,ASSIST CITIZEN/MENTAL/ECO,1215 Lee St,Reported an officer initiated ECO on an individual in crisis ,03-03-2021,1912 03-03-21 to 0018 03-04-21,Active,ASSIST CITIZEN/MENTAL/ECO: Reported an officer initiated ECO on an individual in crisis  on 1215 Lee St at 1912. Case Status: Active,Night,38.0324342,-78.499060670954
6,TRAFFIC ACCIDENT,265 Hereford,Reported a traffic accident ,03-04-2021,1130 03-04-21 to 1149 03-04-21,Suspended,TRAFFIC ACCIDENT: Reported a traffic accident  on 265 Hereford at 1130. Case Status: Suspended,Morning,38.0204977,-78.5021867
7,ASSIST CITIZEN, MEDICAL,Reported assisting citizen who was having a medical emergency. ,03-04-2021,1645 03-04-21 to 1658 03-04-21,Active,ASSIST CITIZEN: Reported assisting citizen who was having a medical emergency.  on  MEDICAL at 1653. Case Status: Active,Afternoon,38.0324342,-78.499060670954
8,ASSAULT,1215 Lee St,"Reported assisting hospital staff with mildly combative patient, no charges pending ",03-05-2021,0000 03-05-21 to 0000 03-05-21,Suspended,"ASSAULT: Reported assisting hospital staff with mildly combative patient, no charges pending  on 1215 Lee St at 0020. Case Status: Suspended",Late Night,38.0324342,-78.499060670954
9,TRAFFIC STOP/ FIELD INVESTIGATION,1500 Gordon Ave,Reported a traffic stop on an individual on moped traveling recklessly ,03-05-2021,0228 03-05-21 to 0228 03-05-21,Suspended,TRAFFIC STOP/ FIELD INVESTIGATION: Reported a traffic stop on an individual on moped traveling recklessly  on 1500 Gordon Ave at 0228. Case Status: Suspended,Late Night,38.03955,-78.497942
10,ASSAULT,1215 Lee St,"Reported assisting hospital staff with mildly combative patient, no charges pending ",03-05-2021,0200 03-05-21 to 0200 03-05-21,Suspended,"ASSAULT: Reported assisting hospital staff with mildly combative patient, no charges pending  on 1215 Lee St at 0230. Case Status: Suspended",Late Night,38.0324342,-78.499060670954
11,ASSAULT,1215 Lee St,"Reported assisting hospital staff with mildly combative patient, no charges pending ",03-05-2021,0500 03-05-21 to 0500 03-05-21,Suspended,"ASSAULT: Reported assisting hospital staff with mildly combative patient, no charges pending  on 1215 Lee St at 0520. Case Status: Suspended",Late Night,38.0324342,-78.499060670954
12,DRIVERS EXCHANGE,1815 Stadium Rd,Reported a drivers exchange of information ,03-05-2021,0936 03-05-21 to 0936 03-05-21,Suspended,DRIVERS EXCHANGE: Reported a drivers exchange of information  on 1815 Stadium Rd at 0936. Case Status: Suspended,Morning,38.029874894745404,-78.51262899144912
13,PROPERTY DAMAGE,1215 Lee St,Reported damage to light fixture due to poor electrical connection from light ballast and sockets ,03-05-2021,1021 03-05-21 to 1022 03-05-21,Suspended,PROPERTY DAMAGE: Reported damage to light fixture due to poor electrical connection from light ballast and sockets  on 1215 Lee St at 1022. Case Status: Suspended,Morning,38.0324342,-78.499060670954
14,ASSIST CITIZEN/ FIELD INVESTIGATION,1215 Lee St,Reported assisting security with belligerent individual ,03-05-2021,1123 03-05-21 to 1123 03-05-21,Suspended,ASSIST CITIZEN/ FIELD INVESTIGATION: Reported assisting security with belligerent individual  on 1215 Lee St at 1123. Case Status: Suspended,Morning,38.0324342,-78.499060670954
15,DRIVERS EXCHANGE,117 11TH ST SW,Reported a drivers exchange of information ,03-05-2021,1213 03-05-21 to 1213 03-05-21,Suspended,DRIVERS EXCHANGE: Reported a drivers exchange of information  on 117 11TH ST SW at 1213. Case Status: Suspended,Afternoon,38.032611697082,-78.496169969413
16,HARASSMENT,2304 Ivy Rd,Reported harassment over social media towards an individual ,03-05-2021,1240 03-05-21 to 1240 03-05-21,Active,HARASSMENT: Reported harassment over social media towards an individual  on 2304 Ivy Rd at 1316. Case Status: Active,Afternoon,38.0409319,-78.5085929
17,FOUND PROPERTY,575 Alderman Rd,Reported found three key fobs with various key chains attached ,03-05-2021,1324 03-05-21 to 1324 03-05-21,Suspended,FOUND PROPERTY: Reported found three key fobs with various key chains attached  on 575 Alderman Rd at 1324. Case Status: Suspended,Afternoon,38.036830249999994,-78.51469399999999
18,TRAFFIC STOP/FIELD INVESTIGATION ,2304 Ivy Rd,Reported traffic stop for expired registration gave warning. ,03-06-2021,1026 03-06-21 to 1026 03-06-21,Suspended,TRAFFIC STOP/FIELD INVESTIGATION : Reported traffic stop for expired registration gave warning.  on 2304 Ivy Rd at 1026. Case Status: Suspended,Morning,38.0409319,-78.5085929
19,ASSIST CITIZEN/FIELD INVESTIGATION ,450 Whitehead Rd,Reported an individual feeling faint. ,03-06-2021,1352 03-06-21 to 1352 03-06-21,Suspended,ASSIST CITIZEN/FIELD INVESTIGATION : Reported an individual feeling faint.  on 450 Whitehead Rd at 1352. Case Status: Suspended,Afternoon,38.032341014566505,-78.51366768551284
20,ASSAULT ,1215 Lee St,Reported a past assault by a patient ,03-06-2021,1430 03-06-21 to 1443 03-06-21,Suspended,ASSAULT : Reported a past assault by a patient  on 1215 Lee St at 1443. Case Status: Suspended,Afternoon,38.0324342,-78.499060670954
21,TRAFFIC STOP/TEMPORARY DETENTION,115 Madison Ln,Reported a temporary detention of individual during traffic stop ,03-06-2021,1811 03-06-21 to 1811 03-06-21,Suspended,TRAFFIC STOP/TEMPORARY DETENTION: Reported a temporary detention of individual during traffic stop  on 115 Madison Ln at 1811. Case Status: Suspended,Night,38.03836355280904,-78.50137318327089
22,"ASSIST CITIZEN/MEDICAL, UNDERAGE POSSESSION",189 Culbreth Road,Reported assisting an overly intoxicated and underage individual that fell off of a balcony ,03-06-2021,1832 03-06-21 to 1832 03-06-21,Active,"ASSIST CITIZEN/MEDICAL, UNDERAGE POSSESSION: Reported assisting an overly intoxicated and underage individual that fell off of a balcony  on 189 Culbreth Road at 1832. Case Status: Active",Night,38.03942210807413,-78.50227150237662
23,PROPERTY DAMAGE ,380 Crispell Dr,Reported contact with individual about obtaining a protective order ,03-06-2021,1945 03-06-21 to 2037 03-06-21,Active,PROPERTY DAMAGE : Reported contact with individual about obtaining a protective order  on 380 Crispell Dr at 1952. Case Status: Active,Night,38.029969924384034,-78.49964930246387
