,Date,Num
0,03-01-2021,5
1,03-02-2021,1
2,03-03-2021,3
3,03-04-2021,3
4,03-05-2021,16
5,03-06-2021,7
6,03-07-2021,4
7,03-08-2021,6
8,03-09-2021,3
9,03-10-2021,5
10,03-11-2021,6
11,03-13-2021,6
12,03-14-2021,1
13,03-18-2021,7
14,03-19-2021,6
15,03-20-2021,4
16,03-22-2021,4
17,03-23-2021,2
18,03-24-2021,4
19,03-25-2021,4
20,02-01-2021,4
21,02-03-2021,1
22,02-04-2021,1
23,02-04-2021,4
24,02-05-2021,3
25,02-06-2021,7
26,02-07-2021,2
27,02-08-2021,2
28,02-09-2021,2
29,02-10-2021,5
30,02-11-2021,9
31,02-12-2021,5
32,02-14-2021,3
33,02-15-2021,1
34,02-16-2021,3
35,02-17-2021,4
36,02-18-2021,5
37,02-19-2021,5
38,02-20-2021,2
39,02-21-2021,2
40,02-22-2021,5
41,02-23-2021,9
42,02-24-2021,1
43,02-25-2021,3
44,02-26-2021,4
45,02-27-2021,5
46,02-28-2021,3
